시점,판매량
2020.01,26646
2020.02,22759
2020.03,24190
2020.04,23299
2020.05,22847
2020.06,22117
2020.07,22999
2020.08,22402
2020.09,23499
2020.10,21884
2020.11,20054
2020.12,19641
2021.01,24894
2021.02,21306
2021.03,23925
2021.04,22703
2021.05,21922
2021.06,21504
2021.07,22364
2021.08,22282
2021.09,21905
2021.10,20749
2021.11,19829
2021.12,17179
2022.01,24637
2022.02,20702
2022.03,23000
2022.04,21164
2022.05,20070
2022.06,18915
2022.07,20475
2022.08,21782
2022.09,21918
2022.10,20646
2022.11,18981
2022.12,16896
2023.01,23198
2023.02,20012
2023.03,21193
2023.04,18515
2023.05,19047
2023.06,18585
2023.07,19085
2023.08,18974
2023.09,18706
2023.10,18878
2023.11,17530
2023.12,16305
2024.01,21461
2024.02,19413
2024.03,19694
2024.04,19059
2024.05,19567
2024.06,18266
2024.07,20579
2024.08,20099
2024.09,20564
2024.10,21404
2024.11,20045
2024.12,18192
2025.01,23947
2025.02,20035
